"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://www.microsoft.com/en-gb/download/internet-explorer.aspx","text/html","200","OK","1","366"
"https://www.google.com/recaptcha/api.js","text/javascript; charset=UTF-8","200","OK","3","0"
"https://reginazapad.rtvs.sk/clanky/regionalna-publicistika/213347/festival-vody?fbclid=IwAR3W3eyknMCPWGW3QCR-g6ltonfKqLB-6ZstLTIaupmRMj6hVUf-4ITnFyE","","302","Moved","3","1"
"https://docs.google.com/viewer?url=https://www.bvsas.sk/files/vodarenske-muzeum/prenajom-priestorov/muzeum_buletin_nahlad_hdpi_sk_pre-web.pdf&embedded=true","","204","No Content","3","0"
"https://www.profesia.sk/praca/bratislavska-vodarenska-spolocnost/O4549537?statistics=14246_116&utm_campaign=offer&utm_medium=affiliate&utm_source=k_bvs_805","text/html; charset=UTF-8","301","Moved Permanently","2","1"
"http://new.modraskola.sk/?page_id=778","text/html","301","Moved Permanently","4","1"
"https://www.youtube.com/embed/whLz7z-gCJQ?enablejsapi=1&showinfo=0&autoplay=0&modestbranding=0&controls=1&rel=1&origin=https://www.bvsas.sk","text/html; charset=utf-8","200","OK","2","0"
"https://goo.gl/maps/kQj5gqAEw8PPdmQu9","application/binary","302","Found","2","1"
"https://zakaznik.bvsas.sk/portal","text/html; charset=utf-8","200","OK","1","704"
"https://vyjadrenie.bvsas.sk/","text/html; charset=utf-8","200","OK","2","4"
"http://code.jquery.com/jquery-1.9.1.js","application/javascript; charset=utf-8","200","OK","3","0"
"https://www.profesia.sk/praca/bratislavska-vodarenska-spolocnost/O4548780?statistics=14246_116&utm_campaign=offer&utm_medium=affiliate&utm_source=k_bvs_805","text/html; charset=UTF-8","301","Moved Permanently","2","1"
"https://goo.gl/maps/KcGsG7r5bJxQvFwv7","application/binary","302","Found","2","1"
"https://www.youtube.com/embed/dvoOGyBD5t0?enablejsapi=1&showinfo=0&autoplay=0&modestbranding=0&controls=1&rel=1&origin=https://www.bvsas.sk","text/html; charset=utf-8","200","OK","2","0"
"https://slnovratnadunaji.sk/","text/html; charset=UTF-8","200","OK","14","2"
"https://www.rtvs.sk/televizia/archiv/15631/221202","text/html; charset=UTF-8","200","OK","3","1"
"https://www.rtvs.sk/televizia/archiv/13276/327969","text/html; charset=UTF-8","200","OK","3","1"
"https://www.rtvs.sk/clanky/215239","text/html; charset=UTF-8","200","OK","3","1"
"https://www.youtube.com/embed/QW0RBE-5ZG8?enablejsapi=1&showinfo=0&autoplay=0&modestbranding=0&controls=1&rel=1&origin=https://www.bvsas.sk","text/html; charset=utf-8","200","OK","2","0"
"https://www.instagram.com/bvsas.sk/","text/html; charset=""utf-8""","200","OK","1","334"
"https://www.uvo.gov.sk/vyhladavanie-profilov/zakazky/8415","text/html; charset=iso-8859-1","302","Found","3","0"
"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2660.4204162903284!2d17.165010016109015!3d48.179250679226854!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476c8ee3ecfed08b%3A0xbae7d5b7aff1bf0b!2sBojnická+1490%2F6%2C+831+04+Bratislava!5e0!3m2!1ssk!2ssk!4v1552475578622","text/html; charset=UTF-8","200","OK","14","0"
"http://cor.europa.eu/BratislavaSummit/publicevents.aspx?lang=sk","text/html","301","Moved Permanently","10","1"
"https://www.profesia.sk/praca/bratislavska-vodarenska-spolocnost/O4551626?statistics=14246_116&utm_campaign=offer&utm_medium=affiliate&utm_source=k_bvs_805","text/html; charset=UTF-8","301","Moved Permanently","2","1"
"https://youtu.be/C4hWyizNLhk","","0","Blocked by robots.txt","2","1"
"http://www.vodarenskemuzeum.sk/","","301","","8","3"
"https://www.facebook.com/vodaakonapoj/","text/html; charset=""utf-8""","200","OK","1","349"
"https://goo.gl/maps/5YL8XJVGJAWR7K526","application/binary","302","Found","3","1"
"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2660.4202306622887!2d17.16501001580928!3d48.17925425623605!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x476c8ee3ecfed08b%3A0xbae7d5b7aff1bf0b!2sBojnická+1490%2F6%2C+831+04+Bratislava!5e0!3m2!1ssk!2ssk!4v1520854887682","text/html; charset=UTF-8","200","OK","13","0"
"https://www.googletagmanager.com/gtag/js?id=AW-322165008","application/javascript; charset=UTF-8","200","OK","1","0"
"http://slnovratnadunaji.sk/","text/html; charset=UTF-8","301","Moved Permanently","12","1"
"http://www.avv.sk/prihlaska-do-sutaze/festival-vody/","text/html; charset=UTF-8","404","Not Found","10","1"
"http://rozhodni.sk/poukazatel/ako-mam-poukazat-2-z-dane/","text/html; charset=UTF-8","200","OK","3","1"
"https://bratislava.sk/","text/html; charset=utf-8","200","OK","1","1"
"https://www.youtube.com/channel/UCUYX9xbvYJgLC0B5EQTT_tg/featured","application/binary","302","Found","1","334"
"https://www.youtube.com/embed/nXm2e-KTQxE?enablejsapi=1&showinfo=0&autoplay=0&modestbranding=0&controls=1&rel=1&origin=https://www.bvsas.sk","text/html; charset=utf-8","200","OK","2","0"
"https://slovensko.rtvs.sk/clanky/spolocnost/286460/svetovy-den-vody","text/html; charset=UTF-8","200","OK","3","1"
"https://ba-4.infolinky.textcom.cz/app/","text/html;charset=utf-8","200","","1","1003"
"http://www.vodarenskemuzeum.sk/sk/navsteva/","","301","","14","2"
"https://www.youtube.com/embed/MEWN9WKDetY?enablejsapi=1&showinfo=0&autoplay=0&modestbranding=0&controls=1&rel=1&origin=https://www.bvsas.sk","text/html; charset=utf-8","200","OK","2","0"
"https://www.kanalniejesmetisko.sk/","text/html","200","OK","1","5"
"http://www.bratislava.sk/konferencia-mesta-a-voda-conference-cities-amp-water/d-11051830","","302","Found","10","1"
"https://www.interway.sk/","text/html;charset=utf-8","200","","1","398"
"https://zakaznik.bvsas.sk/portal/index.html","text/html; charset=utf-8","200","OK","2","9"
"https://youtu.be/YZIun2YpP-o","","0","Blocked by robots.txt","2","1"
"http://www.restoil.sk/aktualne/9/slovnaft-rest-oil/sk/","text/html","302","Moved Temporarily","4","1"
"https://www.facebook.com/tr?id=198553822236536&ev=PageView&noscript=1","","0","Blocked by robots.txt","1","0"
"https://www.googletagmanager.com/gtag/js?id=G-6JXEY58V2J","application/javascript; charset=UTF-8","200","OK","1","0"
"https://bvs.nettle.ai/bot/widget/assets/index-0.3.2-prod.css","text/css","200","OK","1","0"
"http://www.facebook.com/vodaakonapoj","text/plain","301","Moved Permanently","4","1"
"https://bvs.nettle.ai/bot/widget/assets/index-0.3.2-prod.js","text/html","302","Found","1","0"
"https://www.mozilla.org/en-US/firefox/new/","text/html; charset=utf-8","200","OK","1","366"
"https://www.facebook.com/102013346622578/videos/311219753505563/?__so__=channel_tab&__rv__=all_videos_card","text/html; charset=""utf-8""","200","OK","3","1"
"https://www.crz.gov.sk/2171273-sk/centralny-register-zmluv/?art_zs2=&art_predmet=&art_ico=&art_suma_spolu_od=&art_suma_spolu_do=&art_datum_zverejnene_od=&art_datum_zverejnene_do=&art_rezort=0&art_zs1=bratislavská+vodárenská+spoločnosť&nazov=&art_ico1=&ID=2171273&odoslat=Vyhľadať&frm_id_frm_filter_3=6256c3eb0fb01","text/html; charset=UTF-8","200","OK","3","1"
"https://pro.fontawesome.com/releases/v5.15.2/css/all.css","text/css","200","OK","1","0"
"http://www.festivalsvetla.sk/","text/html; charset=UTF-8","302","Found","10","1"
"https://www.youtube.com/embed/C4hWyizNLhk?enablejsapi=1&showinfo=0&autoplay=0&modestbranding=0&controls=1&rel=1&origin=https://www.bvsas.sk","text/html; charset=utf-8","200","OK","2","0"
"https://nadaciabvs.sk/","text/html; charset=UTF-8","200","OK","1","1"
"http://code.jquery.com/ui/1.10.3/jquery-ui.js","application/javascript; charset=utf-8","200","OK","3","0"
"https://goo.gl/maps/PaKTcFm7EY7hH7PG7","application/binary","302","Found","2","1"
"https://www.youtube.com/embed/5TcU4bs069M?enablejsapi=1&showinfo=0&autoplay=0&modestbranding=0&controls=1&rel=1&origin=https://www.bvsas.sk","text/html; charset=utf-8","200","OK","2","0"
"https://www.profesia.sk/praca/bratislavska-vodarenska-spolocnost/O4549552?statistics=14246_116&utm_campaign=offer&utm_medium=affiliate&utm_source=k_bvs_805","text/html; charset=UTF-8","301","Moved Permanently","2","1"
"https://www.google.com/intl/sk_sk/chrome/","text/html; charset=UTF-8","200","OK","1","366"
"http://www.orsr.sk/","","302","Moved Temporarily","2","2"
"https://www.youtube.com/watch?v=FsiQeFvIBFA&t=4s&ab_channel=TVRUZINOV","text/html; charset=utf-8","200","OK","3","1"
"https://vyjadrenie.bvsas.sk/?_gl=1*1m1u2qo*_ga*MTk3MTUzMDcxLjE2NTQ4NDc5ODU.*_ga_6JXEY58V2J*MTY4MDE4NDU4OS4xMzYuMS4xNjgwMTg0NjM2LjEzLjAuMA..","text/html; charset=utf-8","200","OK","2","1"
"http://www.avv.sk/wp-content/uploads/2016/03/Prihlaska-na-Ekologicky-cin-skoly.pdf","application/pdf","200","OK","9","1"
"https://www.profesia.sk/praca/bratislavska-vodarenska-spolocnost/O4549548?statistics=14246_116&utm_campaign=offer&utm_medium=affiliate&utm_source=k_bvs_805","text/html; charset=UTF-8","301","Moved Permanently","2","1"
"https://goo.gl/maps/wZeXGLRwUYB42dCn6","application/binary","302","Found","2","1"
"https://www.facebook.com/vmbvs","text/html; charset=""utf-8""","200","OK","2","17"
"https://www.youtube.com/embed/NsrxBB5Icw8?enablejsapi=1&showinfo=0&autoplay=0&modestbranding=0&controls=1&rel=1&origin=https://www.bvsas.sk","text/html; charset=utf-8","200","OK","2","0"
"https://www.youtube.com/embed/q_O2JU8Uya8?enablejsapi=1&showinfo=0&autoplay=0&modestbranding=0&controls=1&rel=1&origin=https://www.bvsas.sk","text/html; charset=utf-8","200","OK","2","0"
"https://www.youtube.com/embed/caZM7ZNv0rI?enablejsapi=1&showinfo=0&autoplay=0&modestbranding=0&controls=1&rel=1&origin=https://www.bvsas.sk","text/html; charset=utf-8","200","OK","2","0"
