"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status"
"https://www.bvsas.sk/images/ikony/svg/ico_33.svg?v=1618924659","image/svg+xml;charset=UTF-8","0","2","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/fotogaleria/prenajom-priestorov/komercne-podujatia-vo-vm_14.jpg","image/jpeg;charset=UTF-8","1807836","0","Indexable",""
"https://www.bvsas.sk/images/kvalita-vody/bratislavske-trasy-sviezosti/icons-run-smart.png","image/png;charset=UTF-8","993","0","Indexable",""
"https://www.bvsas.sk/images/pomoc-podpora/icongrafic/cennik_ico.svg?v=1618402798","image/svg+xml;charset=UTF-8","0","1","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/muzeum-expozicie/vonkajsia-expozicia/vonkajsia-expozicia-007.jpg","image/jpeg;charset=UTF-8","3310966","0","Indexable",""
"https://www.bvsas.sk/images/gallery/kvalita-vody/pitne-fontany/lokality/roh-karadzicovej-a-zahradnickej-ulic/karadzicova-zahradnicka-4.jpg","image/jpeg;charset=UTF-8","302670","0","Indexable",""
"https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/festival-vody/fv-2019/s_dsc04881.jpg","image/jpeg;charset=UTF-8","41580","1","Indexable",""
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/fotogaleria/karloveske-rameno/karloveske-rameno-04.jpg","image/jpeg;charset=UTF-8","2554145","0","Indexable",""
"https://www.bvsas.sk/images/gallery/kvalita-vody/pitne-fontany/lokality/holic/holic-9.jpg","image/jpeg;charset=UTF-8","80937","0","Indexable",""
"https://www.bvsas.sk/images/gallery/kvalita-vody/pitne-fontany/lokality/aupark/aupark-11.jpg","image/jpeg;charset=UTF-8","83093","0","Indexable",""
"https://www.bvsas.sk/images/gallery/kvalita-vody/pitne-fontany/lokality/senec/senec-2.jpg","image/jpeg;charset=UTF-8","139420","0","Indexable",""
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/fotogaleria/prenajom-priestorov/s_komercne-podujatia-vo-vm_14.jpg","image/jpeg;charset=UTF-8","25457","2","Indexable",""
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/fotogaleria/prenajom-priestorov/komercne-podujatia-vo-vm_05.jpg","image/jpeg;charset=UTF-8","798931","0","Indexable",""
"https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/festival-vody/fv-2017/s_dsc00155.jpg","image/jpeg;charset=UTF-8","18748","1","Indexable",""
"https://www.bvsas.sk/images/gallery/kvalita-vody/pitne-fontany/lokality/rusovce/s_rusovce-8.jpg","image/jpeg;charset=UTF-8","11264","1","Indexable",""
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/muzeum-expozicie/expozicia-vodarenskeho-muzea/expozicia/vodarenske-muzeum_expozicie-014.jpg","image/jpeg;charset=UTF-8","1744820","0","Indexable",""
"https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/festival-vody/festival-vody/s_festival-vody-2022_full-14.jpg","image/jpeg;charset=UTF-8","49032","1","Indexable",""
"https://www.bvsas.sk/images/kontakt/kontaktne-centra/ico_50.svg?v=1634649842","image/svg+xml;charset=UTF-8","0","1","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/images/domacnosti/fakturacia/faktury/sposoby-uhrady-faktur/banner-inkaso-2-2022-web.jpg","image/jpeg;charset=UTF-8","104814","0","Indexable",""
"https://www.bvsas.sk/images/ikony/svg/ico_28.svg?v=1618924659","image/svg+xml;charset=UTF-8","0","1","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/images/domacnosti/fakturacia/faktury/sposoby-uhrady-faktur/logo_slovenskej_sporitelne.png?v=1621949606","image/png;charset=UTF-8","29378","2","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/muzeum-expozicie/expozicia-vodarenskeho-muzea/expozicia/s_vodarenske-muzeum_expozicie-08.jpg","image/jpeg;charset=UTF-8","24026","2","Indexable",""
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/fotogaleria/prenajom-priestorov/s_komercne-podujatia-vo-vm_05.jpg","image/jpeg;charset=UTF-8","12372","2","Indexable",""
"https://www.bvsas.sk/images/gallery/kvalita-vody/pitne-fontany/lokality/holic/s_holic-4.jpg","image/jpeg;charset=UTF-8","7509","1","Indexable",""
"https://www.bvsas.sk/images/gallery/kvalita-vody/pitne-fontany/lokality/sad-jk/s_sad-jk-9.jpg","image/jpeg;charset=UTF-8","8312","1","Indexable",""
"https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/festival-vody/festival-vody/s_festival-vody-2022_full-138.jpg","image/jpeg;charset=UTF-8","41178","1","Indexable",""
