"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.bvsas.sk/rezervacia-stretnutia/","1","","0","0","Indexable",""
"https://www.bvsas.sk/modra-skola/vzdelavaci-program/exkurzie-do-objektov-bvs-a-s.html","1","V rámci aktivít vzdelávacieho programu Modrá škola – voda pre budúcnosť realizujeme pre školy v spolupráci s jednotlivými divíziami odborné exkurzie do vybraných objektov BVS, a. s","180","1134","Indexable",""
"https://www.bvsas.sk/linky-paticke/obchodne-podmienky/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/rozprasovace-vody-od-bratislavskej-vodarenskej-spolocnosti-osviezia-ludi-uliciach-hlavneho-mesta.html","1","V Bratislave, na Hviezdoslavovom námestí, spustili skúšobnú prevádzku systému rozprašovania vodnej hmly.","104","673","Indexable",""
"https://www.bvsas.sk/novinky/v-roku-1886-zacala-pisat-historia-bratislavskeho-vodarenstva-2.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/bvs-reaguje-hrozbu-koronavirusu-bezplatne-testovanie-vzoriek-vody-presuva.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/bvs-upravuje-system-fakturacie-2.html","1","Zvyšujú sa pásma ročnej spotreby vody, podľa ktorých je nastavené doručovanie mesačných zálohových faktúr klasickou poštou. Ak doteraz niekto spotreboval za rok napríklad 100 metrov kubických vody, z BVS dostával papierovú faktúru mesačne. Po zmene systému fakturácie bude dostávať papierovú faktúru už iba štvrťročne. Podobnou zmenou prechádzajú všetky úrovne fakturácie, vďaka čomu sa podarí ročne ušetriť tisícky ton papiera a znížiť ekologické dopady dopravy. Zákazníci, ktorým vyhovuje súčasná periodicita fakturácie majú možnosť si ju ponechať, ale iba v prípade, ak si aktivujú elektronickú faktúru od BVS. Potom budú faktúry dostávať v nezmenenom režime elektronicky. Zmena systému fakturácie nemá žiadny dopad na cenu vodného a stočného.","746","4777","Indexable",""
"https://www.bvsas.sk/novinky/viete-aku-vodu-pijete-z-vasej-studne.html","1","Pri príležitosti Svetového dňa vody naša spoločnosť ponúkla svojim zákazníkom v dňoch 21. 3. – 23. 3. 2011 bezplatnú analýzu vzoriek vody z domácich studní na prítomnosť dusičnanov a celkovú tvrdosť.","199","1263","Indexable",""
"https://www.bvsas.sk/novinky/uhyn-ryb-malom-dunaji-nesposobila-cistiaren-vo-vrakuni.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/obmedzenia-poskytovanych-sluzieb.html","1","Hodnota 1","9","64","Indexable",""
